"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1-Jan",10.7430200576782,14.1427030563354,3.32444381713867,15.7513837814331,0,5.72593212127686,31.4862499237061,0,0,21.8715991973877,0,7.21440029144287,7.67082405090332,10.6611566543579,5.34870910644531,10.3416290283203,0,0,0,23.2403831481934,5.72779846191406,24.5870571136475,3.62318992614746,15.1829967498779,7.07751512527466,3.56924819946289,0,0,15.4920825958252,7.06182479858398,17.0747375488281,0,22.7777042388916,12.761061668396,15.5801610946655,18.7754936218262
"2-Jan",12.0304050445557,14.1427030563354,15.1974592208862,13.9458894729614,22.3392333984375,10.0203809738159,5.24770832061768,11.034912109375,6.61381673812866,8.74863910675049,9.7613582611084,36.0719985961914,7.67082405090332,21.3223133087158,7.9038257598877,25.8540744781494,0,4.89382314682007,0,23.2403831481934,5.72779846191406,0,3.62318992614746,15.1829967498779,9.43668651580811,14.2769927978516,0,14.0043821334839,12.393666267395,0,10.2448434829712,13.3123712539673,5.6944260597229,6.380530834198,10.3867740631104,18.7754936218262
"3-Jan",0,18.8569374084473,6.64888763427734,6.817298412323,14.8928213119507,15.030571937561,10.4954166412354,11.034912109375,4.16366195678711,13.1229581832886,9.7613582611084,14.4288005828857,3.83541202545166,10.6611566543579,11.4639539718628,15.5124435424805,0,0,54.6348838806152,18.592306137085,0,0,0,10.121997833252,4.71834325790405,10.7077436447144,1.51637172698975,17.5054779052734,0,0,10.2448434829712,13.3123712539673,28.4721298217773,9.57079696655273,20.7735481262207,0
"4-Jan",8.47899341583252,9.42846870422363,11.3980941772461,10.7707090377808,7.44641065597534,22.9037284851074,20.9908332824707,6.3056640625,18.6884346008301,13.1229581832886,9.7613582611084,7.21440029144287,11.506236076355,10.6611566543579,9.38579177856445,0,6.98001670837402,6.57379245758057,14.9601097106934,9.29615306854248,26.1842231750488,0,1.81159496307373,5.06099891662598,11.7958583831787,14.2769927978516,3.03274345397949,3.50109553337097,3.09841656684875,3.53091239929199,6.82989549636841,6.65618562698364,17.0832786560059,9.57079696655273,20.7735481262207,14.0816202163696
"5-Jan",0,18.8569374084473,3.32444381713867,15.6268653869629,0,11.4518642425537,5.24770832061768,16.5523681640625,28.6171646118164,0,19.5227165222168,21.6431980133057,3.83541202545166,10.6611566543579,3.457923412323,0,27.9200668334961,16.0936145782471,6.14349365234375,4.64807653427124,11.4555969238281,0,5.43478488922119,25.3049945831299,11.7958583831787,7.13849639892578,1.51637172698975,7.00219106674194,6.19683313369751,14.123649597168,3.4149477481842,13.3123712539673,22.7777042388916,9.57079696655273,15.5801610946655,9.38774681091309
"6-Jan",8.77428245544434,26.7889041900635,30.5448093414307,5.31532955169678,0,5.75151634216309,0,11.0175046920776,8.60025787353516,5.75658941268921,4.67825794219971,14.6780042648315,9.71428680419922,7.86541938781738,3.74404740333557,7.15984010696411,3.42034268379211,2.9259889125824,4.55318689346313,5.20409536361694,8.64717578887939,0,4.48025369644165,8.44871044158936,12.1341876983643,9.35812950134277,0,4.06270170211792,16.5370693206787,4.84379005432129,17.1116828918457,18.7901248931885,9.83257579803467,24.1980495452881,10.7645082473755,8.90472316741943
"7-Jan",13.4634370803833,44.6481781005859,22.9086055755615,3.12114310264587,0,8.62727451324463,8.3161563873291,0,0,14.1340665817261,14.0347738265991,7.33900213241577,0,4.65062141418457,3.27604126930237,21.4795207977295,0,5.50395345687866,9.10637378692627,10.4081907272339,8.64717578887939,12.9187755584717,8.9605073928833,5.63247394561768,9.10064125061035,18.7162590026855,0,1.35423398017883,9.92224025726318,12.7149496078491,8.55584144592285,6.26337480545044,14.7488651275635,30.2475624084473,7.17633867263794,4.45236158370972
"8-Jan",17.4214000701904,17.8592700958252,20.0450305938721,6.28921985626221,18.0983638763428,0,44.7380638122559,0,17.1199512481689,0,18.7130317687988,14.6780042648315,4.85714340209961,24.1380805969238,0,14.3196802139282,0,4.3954291343689,27.3191223144531,5.20409536361694,17.2943515777588,4.30625867843628,4.48025369644165,8.44871044158936,9.10064125061035,14.0371942520142,10.2280263900757,0,6.61482763290405,12.7149496078491,34.2233657836914,6.26337480545044,14.7488651275635,30.2475624084473,3.58816933631897,0
"9-Jan",11.8897876739502,0,0,7.11057376861572,0,2.87575817108154,16.096170425415,2.75437617301941,0,5.30417490005493,18.7130317687988,0,4.25,27.0187568664551,14.9761896133423,0,3.90896320343018,8.89397716522217,22.7659339904785,10.4081907272339,21.6179389953613,4.30625867843628,8.9605073928833,2.81623697280884,12.1341876983643,9.35812950134277,5.11401319503784,0,6.61482763290405,8.47663307189941,17.1116828918457,0,4.91628789901733,6.04951238632202,0,0
"10-Jan",4.27587270736694,8.9296350479126,6.68167638778687,3.08594226837158,9.04918193817139,5.75151634216309,28.3678665161133,0,6.44515752792358,4.78935861587524,0,0,0,0,3.74404740333557,0,0,4.44698858261108,13.6595611572266,15.612286567688,17.2943515777588,0,4.48025369644165,2.81623697280884,3.03354692459106,9.35812950134277,5.11401319503784,1.35423398017883,9.92224025726318,16.9532661437988,4.27792072296143,18.7901248931885,14.7488651275635,0,7.17633867263794,0
