"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"28-Jan",-999,0,0.62891161441803,0,5.44386625289917,0,0,-999,0,0,-999,0,0,5.08730888366699,0,0,0,0,0,0,0,0,2.56357145309448,0,0,0,2.17748737335205,0,0,0,0,0,0,0
"29-Jan",0,0,4.29514169692993,0,0,0,0,-999,0,0,0,0,0,0,0,0.484852373600006,0,0,3.7632167339325,0,0,4.90838432312012,31.267541885376,0,3.86211609840393,0,0,0,0,0,20.0633678436279,0,0,0
"30-Jan",-999,0,0,7.9908447265625,0.761683940887451,0,0,0,0.644231259822845,2.66584777832031,-999,0,0,0,2.24415850639343,0,0,0,0,0,0,4.363685131073,0,0,14.1066608428955,0,0,0,0,0,17.3701725006104,0,0,12.6321144104004
"31-Jan",-999,0,1.38777780532837,0,4.35334300994873,0.358623087406158,-999,0,-999,4.61337947845459,0,0,0,0,0,0,0,0,0,0,0,0,3.42197513580322,0,16.2059803009033,0,5.40664434432983,0,0,0,0,0,0,0
"1-Feb",2.37221240997314,5.26709604263306,0,0,0,0,-999,0,0,8.44821929931641,0.48854598402977,0,0,1.45457303524017,0,0,0,0,0,0,0,0,0.38747763633728,0,3.26000595092773,0,0,0,4.78824710845947,0,5.91328430175781,0,0,0
"2-Feb",4.93266105651855,0,1.59152412414551,0,0,5.44477939605713,0,-999,0,3.68983745574951,2.56097865104675,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0682334899902,0,0,0,5.57580423355103,0,1.6493581533432,0,0,0
"3-Feb",9.58476638793945,0,0,0,0,0.239793330430984,0,-999,0,0,0,0,0,3.97630763053894,0,0,0,0,0,0,0,0,0,0,5.76856184005737,0,0,0,2.04969239234924,0,0,0,0,0
"4-Feb",0,0,0.625072062015533,0,0,0,7.28416204452515,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.927056312561,0,0.322265625,14.8928661346436,0,0,0,0.373273104429245,0,0
"5-Feb",0,0,-999,5.48539257049561,0,0,7.808021068573,-999,0,0,2.17099857330322,0,0,2.65101718902588,0,0,0,0,0,0,0,0,0,0,22.7381286621094,0,0,10.7263584136963,0,0,0,5.3452935218811,0,0
"6-Feb",0,0,0,0.972213506698608,0,0,13.3516340255737,-999,0,2.15459632873535,13.9363069534302,-999,0,0,0,0,0,0,0,0,0,0,0,0,1.347212433815,0,5.85862970352173,3.06027364730835,0,0,0,0,0,0
"7-Feb",0,-999,4.47915506362915,0.246503278613091,0,0,0,-999,0,0,8.46822738647461,0,0,0,0,3.16449856758118,0,0,0,0,0.361869156360626,0,0,0,0,0.492931097745895,0,6.14375305175781,0,0,0,0,0,0
"8-Feb",0,0,0,0,0,0,2.87886118888855,-999,4.10713958740234,0,0,0,0,4.21693277359009,0,18.7984752655029,0,0,7.73419952392578,0,3.63161563873291,0,0,0,0,3.12734961509705,0,0,0,0,0,0,0,2.91908550262451
"9-Feb",0,0,-999,0,0,0,6.08606815338135,-999,0,3.91753053665161,12.8412494659424,0,19.3529605865479,2.64862489700317,0,11.9486932754517,0,0,0.4833984375,0,5.73811483383179,0,0,0,0,0,0,0,4.09352159500122,0,0,0,0,0
"10-Feb",0,0,0,-999,5.20651149749756,0,1.91599190235138,-999,0,0,2.1761953830719,0,8.25272846221924,0,0,36.1846008300781,0,0,0,0,0,0,0,0,0.765281438827515,0,0,0,0,0,0,0,0,0
"11-Feb",-999,0,0,0,0.599330186843872,0.8056640625,0.300796002149582,-999,7.23736238479614,0,9.93804168701172,0,0,1.72300100326538,0,0,0,0,0,0,0,0,0,0,0,6.4003849029541,0,0,0,0,0,0,0,0
"12-Feb",17.1718845367432,0,0,0,0.386194229125977,18.5264453887939,0,-999,1.02294337749481,2.14820623397827,0.893698573112488,0.601974844932556,0,1.10293698310852,0,0.319329857826233,0.768697559833527,0,0.686062455177307,20.8901100158691,8.10042953491211,0,0,0,4.25000667572021,0,0,0,0,0,0,0,0,0
"13-Feb",2.2623143196106,0,0,0,21.6301765441895,2.17543268203735,0,-999,0,0,5.99951696395874,0,0.216199040412903,3.64695858955383,0,0,0,0,0,0,0,0,0,0,6.0575475692749,0,0,0,2.27458381652832,0,0,2.36479210853577,0,0
"14-Feb",2.83351445198059,-999,-999,0,0,3.05463004112244,0,-999,-999,0,0.463861912488937,0,0,0,0,0,0,0,0,0,3.10889291763306,0,4.40428876876831,7.08517742156982,0,20.8659210205078,0,0.329135626554489,0,0,0.695609867572784,0,0,0
"15-Feb",-999,-999,0,0,0,10.2033863067627,0,-999,0,0.506945371627808,-999,0,8.17832469940186,0,0,0,0,0,0,0,0,4.46641254425049,0,0,0,0,0,1.41612958908081,0,0,0,0,0,0
"16-Feb",0,0,-999,0,0,0.395376205444336,0,-999,0,0,0,0,7.57290935516357,1.43570375442505,0,0,0,0,0,0,4.03704357147217,1.1167299747467,0,0,0,0,0,34.7017707824707,0,0,0,5.57713270187378,0,0
"17-Feb",0,0,0,0,0,0,0,2.2855236530304,0,0,-999,0,0,20.4601593017578,0,0,0,0,0,19.4545974731445,0,2.51805233955383,0,0,0,0,0,6.23627042770386,0,1.03637552261353,0,0,6.05918502807617,0
"18-Feb",-999,0,0,-999,6.25116634368896,0,0,8.26736259460449,3.67720603942871,0,-999,0,0,2.61142563819885,0,2.97491574287415,0,0,0,0,0,10.9654550552368,0,0,0,0,0.2888223528862,0,1.72322916984558,0,0,0,0,0
"19-Feb",15.8134984970093,0,0,0.259245097637177,11.52760887146,4.95594549179077,0,13.935019493103,0,6.27726936340332,0,0,0,0,0,5.98482608795166,0,0,0,6.50277805328369,0,4.46707820892334,0,0.4833984375,0,0,0,0,0,0,0,6.16921901702881,0.322265625,0
"20-Feb",31.4748306274414,0,-999,0.295857816934586,5.65428924560547,0,-999,9.89498519897461,0,0,0,0.41845765709877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56223273277283,0,0,0.735679924488068,30.1753540039062,0,0
"21-Feb",0,0,-999,0,-999,1.67755317687988,0,7.78091382980347,1.43844747543335,6.81265735626221,0,0,0,0.365960359573364,0,1.87951183319092,0,0,0,0,0,0,0,0,0,0,0,10.9832305908203,0,0,4.73770380020142,0,0,0
"22-Feb",0,0,0,0,9.27859687805176,0,0.345208883285522,30.4319133758545,1.99235510826111,3.53012037277222,0,0,0,0,0,0,0,0,7.47745609283447,0,0,0.855368494987488,0,0,0,0,0,7.15101623535156,0.200551018118858,0,0,0,0,0
"23-Feb",0,0,-999,0,25.0472011566162,0,1.0135669708252,8.35487842559814,4.5232400894165,0,0,0,0,0,0,0,0,0,0,0,0,7.04702711105347,0,10.4581651687622,0,0,0.708813190460205,1.42047882080078,0,0,0,0,0,0
