"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"1-Jan",20.0174732208252,11.2347373962402,0,14.129490852356,8.01330661773682,14.0156736373901,24.4474143981934,0,6.26370716094971,14.8472414016724,5.3148193359375,7.85204601287842,8.42577648162842,12.045877456665,3.96154141426086,16.7515201568604,0,0,11.058424949646,15.4446506500244,4.37575721740723,23.7254295349121,4.7744517326355,20.4779052734375,10.0657529830933,4.01970720291138,1.70897138118744,3.19906735420227,14.3430309295654,7.8510479927063,13.6615581512451,6.14237213134766,28.2375259399414,13.3863172531128,25.9277019500732,27.7858257293701
"2-Jan",19.811107635498,11.2347373962402,17.4233341217041,13.1953086853027,16.0266132354736,9.97549438476562,12.2237071990967,0,12.6866607666016,0,5.3148193359375,31.4081840515137,12.6386671066284,18.0688133239746,9.05495262145996,22.3353595733643,0,0,10.4691038131714,25.7410850524902,4.37575721740723,0,4.7744517326355,20.4779052734375,7.54931497573853,16.0788288116455,1.70897138118744,9.59720230102539,11.4744253158569,3.92552399635315,20.4923362731934,0,7.05938148498535,13.3863172531128,15.5566215515137,20.8393688201904
"3-Jan",0,16.8521060943604,15.2454175949097,10.5095376968384,16.0266132354736,13.2867755889893,12.2237071990967,6.13876676559448,0,11.3121843338013,5.3148193359375,23.5561389923096,12.6386671066284,6.02293872833252,11.8846235275269,16.7515201568604,0,0,37.5085144042969,17.651029586792,4.37575721740723,0,0,10.2389526367188,5.03287649154663,12.059121131897,3.41794276237488,15.9953365325928,0,0,10.2461681365967,6.14237213134766,35.2969055175781,13.3863172531128,15.5566215515137,0
"4-Jan",0,11.2347373962402,15.2454175949097,18.3333072662354,0,15.9732856750488,13.9699516296387,14.2997159957886,19.6669788360596,14.8472414016724,10.629638671875,7.85204601287842,12.6386671066284,6.02293872833252,11.8846235275269,0,7.26696968078613,11.8987150192261,14.5943470001221,25.7410850524902,25.0043277740479,0,7.16167736053467,10.2389526367188,10.0657529830933,12.059121131897,3.41794276237488,6.39813470840454,0,7.8510479927063,6.83077907562256,18.427116394043,28.2375259399414,10.0397367477417,15.5566215515137,27.7858257293701
"5-Jan",0,19.2595520019531,7.62270879745483,19.9681224822998,0,13.5158576965332,6.11185359954834,39.7455101013184,30.4161396026611,4.94908046722412,15.9444580078125,7.85204601287842,4.21288824081421,12.045877456665,7.92308282852173,0,14.5339393615723,20.136287689209,8.04249095916748,0,13.127272605896,0,7.16167736053467,25.5973815917969,12.5821914672852,8.03941440582275,0,6.39813470840454,11.4744253158569,7.8510479927063,3.41538953781128,18.427116394043,28.2375259399414,10.0397367477417,25.9277019500732,13.8929128646851
"6-Jan",10.3984861373901,19.9189834594727,44.88671875,6.92951440811157,0,4.66055488586426,0,9.22284984588623,14.8364391326904,11.5852222442627,0,10.8040056228638,11.3116865158081,22.982536315918,4.36832237243652,8.02962017059326,3.61834931373596,2.67152810096741,10.0731134414673,11.2570686340332,23.9009017944336,0,4.66931056976318,6.32474327087402,9.38180923461914,4.65365839004517,0,7.4113507270813,15.8464946746826,15.817964553833,10.3444862365723,20.058536529541,5.98262500762939,43.6006889343262,21.6601505279541,8.41709136962891
"7-Jan",17.6165828704834,39.8379669189453,42.7492523193359,6.71792602539062,0,9.32110977172852,12.1808938980103,0,4.32729434967041,10.1179056167603,15.6815595626831,9.45350360870361,0,7.78581857681274,3.82228207588196,24.0888614654541,0,3.80692839622498,15.1096696853638,11.2570686340332,14.3405389785767,13.8120536804199,9.33862113952637,12.649486541748,6.25453996658325,23.2682933807373,4.12849473953247,1.85283768177032,11.8848714828491,13.8407192230225,10.3444862365723,6.68617916107178,23.9305000305176,34.8805541992188,5.41503763198853,0
"8-Jan",15.0999298095703,9.95949172973633,22.443359375,9.15119075775146,29.052713394165,0,43.690559387207,0,0,0,10.4543733596802,28.3605117797852,0,13.5595731735229,0,24.0888614654541,0,5.76604890823364,25.1827831268311,22.5141372680664,19.120719909668,3.45301342010498,4.66931056976318,9.48711490631104,12.5090799331665,13.9609756469727,4.12849473953247,0,7.92324733734131,18.4542922973633,41.3779449462891,0,29.9131259918213,34.8805541992188,5.41503763198853,0
"9-Jan",18.0590724945068,0,22.443359375,5.16627883911133,9.68423748016357,8.15597057342529,10.5414733886719,3.07428336143494,8.65458869934082,9.00099468231201,26.1359310150146,0,4.94886255264282,15.8840713500977,17.4732894897461,0,4.13525629043579,8.81604385375977,30.2193393707275,0,14.3405389785767,3.45301342010498,9.33862113952637,0,9.38180923461914,9.30731678009033,4.12849473953247,0,7.92324733734131,0,15.5167293548584,0,5.98262500762939,0,0,0
"10-Jan",0,9.95949172973633,7.48111963272095,4.31992626190186,0,4.07798528671265,35.0180244445801,0,8.65458869934082,10.7311134338379,0,0,0,5.57379674911499,0,0,0,4.49707269668579,20.1462268829346,5.6285343170166,14.3405389785767,6.90602684020996,4.66931056976318,3.16237163543701,6.25453996658325,4.65365839004517,8.25698947906494,1.85283768177032,3.96162366867065,18.4542922973633,5.17224311828613,20.058536529541,23.9305000305176,0,10.8300752639771,8.41709136962891
