Day,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
05-Feb,0,0,0,0,2.9,10.1,0,0,5.5,0,0,0,21.8,0,0,0.2,0,0,0,0,4.2,0,0,0,0,0,0,0,0,3.5,-9999999,0,0,0,0
06-Feb,0,0,0,0,7.6,0.7,0.4,0,1.8,2.5,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-9999999,0,0,14.4,0
07-Feb,0,0,0,0,0,0,0,0,0.9,1.5,0,0,0,0,0,0.3,0,2.2,0,0,7.5,11.1,0,0,0,0,0,0,2.1,0,-9999999,0,3.2,13.6,0
08-Feb,0,0,0,5.6,0,0,0,0,3.9,16.6,17.6,0,4.6,0,40,0,0,0,0,0,0,7.3,0,0,0,0,0,0,3.1,0,-9999999,0,0.2,0,0
09-Feb,0,0.9,0,0,0,0,0,0,29.5,0,0,0,53.8,0,1.8,0,0,87,0,0,0,0,0,0,0,0,5.9,0,0,0,-9999999,0,0,0,0
10-Feb,0,0,0,0,0,0,0,10,7.8,3.2,2,0,29.7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.1,-9999999,0,0,0,0
11-Feb,0,0,12.5,0,0,0,0,0,0,7.3,0,4.6,6,0,0,1.1,0,2.1,4,0,0,15.2,0,0,0,0,0,0,0,0.8,-9999999,0,0,0,0
12-Feb,0,0,0,0,0,0,25.4,0.2,0,0,0,0,17.4,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,0,-9999999,0,0,0,0
13-Feb,0,0,0.1,0,0,0,0,0,0,0,0,0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,3.1,2.1,0,0,0,0,-9999999,0,0,0,0
14-Feb,0.8,2.1,0,0,0,1.4,0,0,0,0,3,0,0,0,0,0,0,3.1,0,0,0,0,0,0,0,0,8.1,0,0,0,-9999999,0,1.4,0,0
15-Feb,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,0,-9999999,0,1.2,0,0
16-Feb,16.4,1.6,0.1,0,0,0,0,0,0,0,4,0,0,0,20.8,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,2.8,0
