"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016"
"29-Jan",0,0,0,0,0,0,0,-999,0.974544703960419,0,0,0,0,0,0,4.51121234893799,0,0,0,0,0,2.10648369789124,0.318043768405914,0,0,0,0,0,0,0,0,0,0,0.211984246969223
"30-Jan",-999,0,0.228374227881432,0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0.910216510295868,0,0,0,0,0,0,0,7.8777003288269,0,0,0
"31-Jan",-999,0,0,0,0,0,-999,0,-999,0,0.530968964099884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.94359636306763,0,0,0
"1-Feb",0,0,0,0,0,0,-999,0,0,0,9.77554893493652,0,0,0,0,0,0,0,0,0,0,0.495493173599243,0,0,0,0,0,0,0,0,0,0,0,0
"2-Feb",0.405244261026382,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.538759350776672,0,0.971472144126892,0,0,0,0,0,0,0,0,0,0
"3-Feb",0.576749086380005,0,0,0,0,0.325942695140839,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231772422790527,0,0.295633047819138,0,0,0,0,0,0,0,0,0,0
"4-Feb",0,0,0,0,0,0,0.263199418783188,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5-Feb",0,0,-999,0,0,0,0.212509781122208,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7744483947754,0,0,0,0,0,0
"6-Feb",0,0,46.4000015258789,0,0.421291768550873,0,0.218884170055389,-999,0,0,8.01279640197754,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.84820222854614,0,0,0,0,0,0
"7-Feb",0,-999,3.94012117385864,0,0,0,0,-999,0,3.9818902015686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.362796366214752,0,1.9610230922699,0,0,0,0.625643789768219,0,0
"8-Feb",0,0,1.94916534423828,0,0,0,0.222252532839775,-999,0,0,4.39465045928955,0,0,0.996857166290283,0,0,0,0,0,0,0,1.9153493642807,0,0,0,0,0,0,0,0,0,8.19898128509521,0,0
"9-Feb",0,0,-999,0,0,0,0.401436686515808,-999,0,0,34.9902381896973,0,10.1802291870117,0,0,0.328738659620285,0,0,0,0,0,2.1295154094696,0,0,0,0,0,0,0,0,0,0,0,2.19408655166626
"10-Feb",0,0,2.10891056060791,-999,0,0,0,-999,0,0,4.65126466751099,0,1.03520894050598,0,0,1.10285246372223,0,0,0,0,0.388305097818375,0,0,0,0,0,1.07330322265625,0,0,0,0,0.483465224504471,0,0
"11-Feb",-999,0,0.221057891845703,0,0,0,0,-999,0,0,42.2921333312988,0,0,0,0,54.3395881652832,0,0,0,0,0,0.975257873535156,0,0,0,0,0,0,0,0,0,5.89696407318115,0,0
"12-Feb",3.28887128829956,0,0,0,0,0,0,-999,0,0,25.5803565979004,0,14.6620187759399,0,0,74.4118194580078,0,0,0,0,0,0,0,0,0,0,0,20.8781566619873,0,0,0,0.981369614601135,0,0
"13-Feb",0.201070800423622,0,0,0,0,0,0,-999,0,0,0,0.604023694992065,11.6969480514526,0.223557978868484,0,8.78148555755615,0,0,0,0,0,0,0,0,0,0,0,20.6862602233887,2.10669779777527,0,0,0,0,0
"14-Feb",3.27916646003723,-999,-999,0,0,0,0,-999,-999,0,0.419064909219742,0.214900061488152,29.5329475402832,0,0,5.9545464515686,0,0,0,0,0,0,1.04808664321899,0,0,0,0,0,0,0,0,0.343721181154251,0,0
"15-Feb",-999,-999,0,0,0,0,0,-999,0,0,-999,0,0,0,0,4.14827728271484,2.91872000694275,0,0,0,0,0,0,0,0,0,0,0,14.1244697570801,3.04352331161499,0,0,7.38168048858643,0
"16-Feb",0.240456476807594,0,-999,0,0,0,0,-999,0,0,0,0,0,0,0,0,4.93140363693237,0,0,0,0,41.8550491333008,0,0,0,0,0,1.29148507118225,0.444945454597473,0,0,27.3619251251221,3.08144736289978,0
"17-Feb",0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0,0.973368525505066,0,0,0,0,0,0,0,0,0,0,0,0,2.00104522705078,0,0,0,0
"18-Feb",-999,0,0,-999,0,0,0,0.224059596657753,0,0,-999,0,0,12.8458995819092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.225644752383232,0,0,0,0,0,0
"19-Feb",0,0,0.884981870651245,0,0,0,0,0,0,0,0,0,0,0,0,13.6361970901489,0,4.66319274902344,0,0,0,0,0,0,0,0,0,1.41890704631805,0,0,0,0,0,0
"20-Feb",12.7695789337158,0,-999,0,0.49619996547699,0,-999,0.51858526468277,0,0,3.90452075004578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21-Feb",0,0,-999,0,-999,3.04498529434204,13.809211730957,0.520941853523254,0,0,0,0,0,0,0,1.03062915802002,0,0,0,0,0,0,0,0,0,0,0,0.406231552362442,0,0,0,0,0,0
"22-Feb",0,0,0,0,0,0.989167451858521,0,0.440660983324051,0,0,0,0,0,0,0,0,0,0,0,1.00183200836182,0,1.05370891094208,0,0,0,0,0,0,0,0,0,0,0,0
"23-Feb",0,0,-999,0,0,0,0,6.04800415039062,0,0,0,0,0,0,0,0,0,0,1.96607232093811,11.776668548584,0,0,0,0,0,0,8.85345268249512,0,0,0,0,0,0,0
"24-Feb",0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25-Feb",0,0,-999,-999,0,0,0,-999,0,0,5.87302589416504,0,0,0,0,0,0,0,0,3.93013310432434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26-Feb",0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.6805744171143,0,0,1.00432109832764,2.7112021446228,0,0,0,0,0,0
"27-Feb",0,0,-999,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,-999,0,0,0,0,0.529665052890778,0,0,0,23.4483051300049,0,5.85816383361816,0,0,0,0
"28-Feb",0,0,0,0,0.972604691982269,0,0,-999,0,0,0,0,0,0.973006367683411,0,0,0,0,0,0,0,0,16.4892387390137,0.544022083282471,0,0,0,16.9996662139893,0,0,0,0,0,3.95576786994934
"29-Feb",,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0
"1-Mar",0,0,0,0,0,0,0,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.01094579696655,0,0,0,0,0,8.96440601348877
"2-Mar",0,5.93226337432861,0,0,0,0,0,-999,0,0,0,0,0,0.322356104850769,0,0,0,11.7971162796021,0,7.86223030090332,0,0,0,10.897855758667,0,0,0,2.09760022163391,0,4.94440269470215,0,0,0,0
"3-Mar",0,0,0,0,0,0,0,0,0,0,0,0,67.7740707397461,0,0,0,9.72906684875488,0,0,11.2246932983398,0,0,0,18.8855228424072,0,0,0,2.0161349773407,0,0,0,0,0,0
"4-Mar",0,0,0,0,0,1.982253074646,0,0,0,0,0,0,21.3713855743408,0,0,0,0,0,0,0.985205113887787,0,0,0,0,0,0.430267721414566,0,0,0,0,0,0,0,0
"5-Mar",0,0,-999,0,-999,16.5833415985107,0.279422551393509,0,0,0,0,0,0,13.0052480697632,0,-999,0,0,1.99506342411041,0.317884773015976,0,0,0,0,0,5.86911106109619,0,12.6868047714233,0,0,0,21.64892578125,0,0
