Day,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
01-Feb,0,0,9.5,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,4.4,0,0
02-Feb,0,0,10.8,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
03-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
04-Feb,0,0,0,0,4.5,0,4.3,0,4.3,0,0,0,0,-9999999,-9999999,3,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
05-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
06-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
07-Feb,0,0,0,0,0,0,0,0,26.4,0,0,0,0,-9999999,-9999999,0,8.3,-9999999,0,5.1,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
08-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,10.2,-9999999,33.1,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0.4,0
09-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,7.8,0
10-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,10.5,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
11-Feb,0,0,0,0,0,0,0,0,0,0,0,3.8,0,-9999999,-9999999,0,31.3,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0.6,0
12-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,10.5,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
13-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,11.1,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,2,0
14-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,1.8,0,0,0,0
15-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
16-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,14,2.6,0,0,5.6
17-Feb,0,40.6,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,7.2,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,27.6,2.4
18-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,1.6,0,0,0
19-Feb,0,0,0,0,0,0,4.7,0,0,0,0,0,3.5,-9999999,-9999999,0,5.2,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
20-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
21-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
22-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
23-Feb,0,17.7,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
24-Feb,15.7,8.4,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
25-Feb,17.9,5.6,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
26-Feb,8.4,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
27-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0.4
28-Feb,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,-9999999,0,0,-9999999,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,5.4,0,0,0
29-Feb,,,,0,,,,0,,,,0,,,,0,,,,0,,,,0,,,,-9999999,,,,-9999999,,,,0,,,
01-Mar,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,16,0,0,-9999999,63.5,0,0,0,-9999999,0,0,0,0,0
02-Mar,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.6,0,0,-9999999,0,0,0,4.2,0,0,-9999999,7.5,0,0,0,-9999999,0,0,0,0,0
03-Mar,0,0,0,0,0,0,0,0,0,0,0,20.3,0,0,0,0,0,0,4.7,0,0,-9999999,0,0,0,11.1,0,0,-9999999,17.6,0,0,0,-9999999,0,5.2,0,0,0
04-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
05-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.7,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,21,-9999999,0,0,0,3.4,0
06-Mar,0,0,0,0,0,0,0,0,0,8.4,0,0,0,10.3,0,0,0,0,4.1,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,-9999999,-9999999,0,0,0,22.2,0
07-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,20,-9999999,0,0,0,0,0
08-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,-9999999,-9999999,0,0,0.6,0,0
09-Mar,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,3.6,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
10-Mar,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,14.9,0,0,-9999999,0,0,0,0,-9999999,0,0,17.2,0,0
11-Mar,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,0,0,0,12.5,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
12-Mar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,13.3,4.8,0,0,-9999999,0,0,0,0,-9999999,0,0,1.8,0,0
13-Mar,0,17.3,0,0,0,0,0,0,0,0,0,0,4.6,31.7,0,0,0,0,0,0,0,-9999999,0,0,0,4.4,0,0,-9999999,14.2,0,0,0,-9999999,0,0,0,31.4,0
14-Mar,27.5,17.2,24.5,0,0,0,0,0,0,0,0,0,0,94.8,3.2,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,10.3,121.6,0
15-Mar,0,0,0,0,0,0,0,5.2,0,0,0,0,0,8.4,0,0,0,0,0,0,0,-9999999,47.5,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,3.9,19.4,0
16-Mar,0,0,25.4,0,21.1,0,0,0,0,0,0,4.1,8.3,12.8,0,0,0,0,0,0,0,-9999999,34.3,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
17-Mar,0,0,48.2,0,18.3,0,0,0,0,3.4,0,0,10.7,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,-9999999,0,0,0,0,0
18-Mar,0,0,11.6,0,17.9,0,0,0,0,0,0,10.3,13.1,11.1,0,0,12.5,0,0,0,0,-9999999,14.2,0,0,0,0,0,-9999999,0,0,10,0,0,0,0,0,3.6,0
19-Mar,56.6,0,21.3,0,0,0,0,0,0,0,0,33.9,14.8,0,0,0,0,0,0,7.9,0,-9999999,0,0,0,26.2,0,0,-9999999,1.2,10,0,0,0,29.6,0,21.2,4.2,0
20-Mar,0,0,6.7,0,31.6,0,0,0,0,4.5,0,0,15.6,0,0,0,0,0,0,5.7,0,-9999999,0,0,0,16.6,0,0,-9999999,0,0,0,0,1,6.6,0,24.7,0,0
21-Mar,0,15.1,0,0,6.1,0,0,0,0,0,0,0,15.3,7.6,0,0,0,0,0,6.5,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,11.6,0,0,6.3,0,0
22-Mar,0,0,0,0,45.4,0,0,0,4.6,0,0,0,0,44.4,0,0,0,0,38.6,0,0,-9999999,13.8,0,0,0,10,0,-9999999,0,0,0,0,0,0,0,24,0,0
23-Mar,0,0,0,0,22.3,0,0,0,6.7,0,0,20.6,0,0,0,0,0,45.3,19.9,5.3,10.2,-9999999,0,0,0,0,0,0,-9999999,0,0,0,33.5,0,0,0,1.6,6.4,26.4
24-Mar,0,16.2,4.6,0,0,0,0,0,3.5,2.3,0,10.3,0,0,0,0,0,0,0,0,14.7,-9999999,0,0,31.7,0,34,0,-9999999,0,30,0,0,0.6,0,0,0,1.2,18.6
25-Mar,5.8,0,0,0,6.5,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,-9999999,0,0,28.3,0,12.2,0,-9999999,0,0,30,0,33.4,0,0,0,26.6,0
26-Mar,10.2,27.2,0,0,10.7,0,0,7.4,11.4,0,0,9.7,0,0,17.2,0,0,0,0,35.7,0,-9999999,0,0,26.4,5.1,13,0,-9999999,0,0,0,0,3.4,2.6,0,0.2,0.6,2.2
27-Mar,10.1,19.6,0,0,15.8,0,0,0,14.2,2.8,0,14,0,6.1,18.1,0,0,0,2.1,0,0,-9999999,0,0,18.7,4.3,0,30.6,-9999999,0,0,0,60,0,0,0,3.2,2.8,0.2
28-Mar,10.3,7.4,0,0,0,3.5,0,0,21.4,0,0,0,0,0,18.4,0,0,0,0,31.8,30,-9999999,0,0,15,0,2,0.7,-9999999,0,0,0,50,0,0,0,9.4,0,3.4
29-Mar,3.2,0,0,11.2,6.9,36.5,0,0,17.8,9.2,0,0,0,0,0,0,0,0,0,0,0,-9999999,45.9,15.4,0,0,0,0,-9999999,12.4,3,3,0,2.6,0,0,10,0,1.6
30-Mar,0,0,0,0,16.8,27.1,0,0,23.5,3.6,0,0,0,3.2,0,0,0,0,0,0,0,-9999999,19,0,10.9,0,0,33.3,-9999999,0,0,0,0,1.6,0.6,0,1.8,0,3.4
31-Mar,0,0,0,0,0,13.2,0,0,20.5,0,0,20,0,0,0,0,0,0,0,0,0,-9999999,0,0,0,0,0,0,-9999999,0,0,0,0,60.2,2.2,0,4,0,0
01-Apr,0,15.2,0,0,43.2,0,0,-9999999,0,0,0,2,0,23.7,-9999999,0,0,0,0,22.5,0,-9999999,0,0,0,0,0,30,0,4,3,3,0,3.2,0,0,0.4,0,0
02-Apr,0,15.5,0,0,4.8,14.9,0,-9999999,8.3,0,0,0,17.2,22.9,-9999999,38.4,0,3.1,5.4,0,6.7,-9999999,0,1.4,10.8,0,0,2.2,0,8.1,0,0,0,36.2,0,0,2,0,0
03-Apr,20.9,15.4,5.3,0,0,13.3,0,-9999999,27.2,0,0,0,17.4,0,-9999999,0,0,0,0,0,0,-9999999,0,0,7.6,10.4,13.7,10,0,27.8,0,0,0,94.6,0,7,0.6,0,26
04-Apr,0,0,17.6,0,0,0,9.1,-9999999,0,2.2,0,10.1,0,9.5,-9999999,0,0,16,7.9,5.2,23.1,-9999999,7.1,0,4.9,0,0,0,0,8.8,0,0,0,1.4,11.8,14.6,1.2,0,22
05-Apr,50.7,10.2,19.8,0,23.9,0,0,-9999999,0,7.8,46.7,5.3,0,9.5,-9999999,43.5,19.2,0,50.3,37.1,0,-9999999,0,31.2,3.5,0,0,0,0,9.8,0,0,0,0,0,1.5,0.2,28.4,5.4
06-Apr,0,19.4,0,0,0,0,0,-9999999,0,17.4,45.8,5.2,20,3.2,-9999999,5.3,0,21.5,0,0,5.1,-9999999,0,4.6,0,2.9,0,0,0,0,0,0,0,0,0,5.1,6.2,2.8,14.4
07-Apr,0,0,49.5,16.9,0,72.4,0,-9999999,0,0,0,0,0,0,-9999999,17.5,0,0,0,0,21.5,-9999999,0,0,0,3.8,0,3.4,0,48,0,0,0,1.8,0,4.8,13.6,0,0.6
08-Apr,22.3,18.1,44.3,0,0,10.6,0,-9999999,6.2,0,0,9.3,27.5,61.2,-9999999,11,0,20.2,0,12.5,4.3,-9999999,6.5,22.3,0,0,0,23,5,0,10,10,0,11.2,1.4,0.8,0,8.8,0
09-Apr,5.3,18.4,29.6,11.8,22.8,5.4,0,-9999999,7.1,6.9,7.4,38.3,17.8,14.3,-9999999,0,0,0,0,0,16.4,-9999999,0,9.1,0,0,0,3,25,18.4,1.7,17,24.5,0,0,6.8,19,0,6.4
10-Apr,0,18.2,0,0,9.1,0,0,-9999999,0,9.6,9.6,0,0,54.6,-9999999,0,0,0,19.6,0,54.7,-9999999,0,0,0,0,0,54.5,24,0,35.6,35.6,30.5,0,2,0,4.2,0,0
11-Apr,20.3,59.2,11.4,3.8,25.2,0,0,-9999999,0,0,9.9,0,42.6,0,-9999999,0,0,15.5,25.3,9.5,0,-9999999,0,0,0,24.6,0,0.9,0,0,0,0,0,0,12.4,0,0,0.6,0
12-Apr,7.3,25.2,0,0,88.5,0,0,-9999999,14.3,0,0,6.7,0,4.8,-9999999,0,0,0,14.5,0,69.2,-9999999,0,0,0,26.3,0,0,14,0,0,0,0,3,0,9.4,12.6,1,0
13-Apr,7.9,0,0,8.9,10.2,46.8,0,-9999999,39.2,8.7,18.3,0,0,43.7,-9999999,0,37.2,6,0,8.6,0,-9999999,0,0,0,0,0.7,0,0,0,0,0,15.9,6.2,0.6,32.8,19.6,21.6,0
14-Apr,5.8,41.8,21.7,8.6,0,16.3,2,-9999999,0,7.1,0,0,55.3,0,-9999999,0,7.5,0,0,0,0,-9999999,0,0,0,27.7,0,0,0,0,3.3,3.3,0,0.2,2,22.2,104.8,15.8,0
15-Apr,0,1.7,0,0,105,0,14.7,-9999999,11.1,0,0,0,0,8.5,-9999999,0,8.6,11.2,0,0,5.3,-9999999,0,0,0,0,0,0,0,0.2,58.9,58.9,70,0,22.8,0.2,4.8,3,0
